text,label
Mwana wanga amvela tupi kupya.,medical
Nimvela chizwezwe.,medical
Mumala munyonga.,medical
Mendo yavimba.,medical
Nimvela mseluselu nikadya vakudya.,medical
Nayamba matukumo.,medical
Nitulula.,medical
"Mwana wanga ali ndi thupi lotentha kwambiri, ndikuopa.",medical
Ndikumva chizungulire ndipo mutu ukundipweteka.,medical
"Ndikupuma movutikira, ngati chifuwa changa chatsekeka.",medical
Ndakhala ndikukhosomola masiku angapo tsopano.,medical
Ndikumva kupweteka m'mimba komanso kusanza.,medical
Pali mankhwala pafupi pano?,medical
"Munthu uyu wagwa mwadzidzidzi, tifunika dokotala mwachangu.",medical
1)Mwana wanga adwala mumala amvela nachi zwezwe nimu nkwala bwanji weninga mupase.,medical
2)Amai Gondwe bamwalila chifukwa  sibana yende ku chipatala kutenga mankwala yofunikila,medical
"1, Mwana wanga tupi yapya",medical
"2, Ninvela chizwezwe",medical
"3, Nikuti Kuli pharmacy ilipafupi?",medical
"4, Ninvela tupi kulema",medical
"5, Ninvela Chifuba",medical
"6, Mutu ubaba",medical
"7, Mwana wanga aluka",medical
"""Nimvela kudwala.""",medical
"""Chipatala chilikuti?""",medical
"""Mutu ubaba, nimvela ku luka na chizwezwe.""",medical
"""Nikuti kwe ninga gule munkwala?""",medical
"""Mwana a uka na tupi yokupya.""",medical
"""Mumala munayamba mailo kubaba.""",medical
"""Nili na chinfine na chifuba.""",medical
Ninvela chizwezwe,medical
Nipati peninga peze pharmacy,medical
Kuliko pharmacy pafupi na pano,medical
Kuliko pharmacy kuno kuma side,medical
Mwana wanga akupuya tupi,medical
1) mwana wanga adwala chifuba.,medical
2) ni mankwala bwanji Yemene yanga tandoze.,medical
3)ndiye ba doctor Baliko aba.,medical
4) nanga baja ba doctor benangu Bana yenda kuti.,medical
5)Nanga ku wadi rumu ndikuti.,medical
6) malamulo okumwa mankwala aya niya bwanji.,medical
7)enze afenta kabili mwana uyu.,medical
Umwana wandi nalwala sana,medical
Ubulwele bwa mpepo bubi Sana kaili bulepaya nga tamucitilepo cimo bwangu.,medical
Umwana wandi nalwala ubulwele bwa mpepo.,medical
Ici cilendetela Ulunshingwa pa menso.,medical
Nikwisa kwaba uko ningapoka umuti?,medical
Ubu ubulwele bulingile ukundapwa bwangu.,medical
Umwana wandi alelinga ukumutwala ku cipatala ku kundapwa.,medical
Ubulwele bwa mpepo bulalenga umubili ulekalipa elo nokukaba saana pantu tempulica ilanina.,medical
Bushe icipatala chili mupepi cabela kwisa?,medical
Ndeunfwa ulunshingwa,medical
umwana wandi nakana umubili,medical
Ba Yama baleluka nokupolomya,medical
Kapambwe bacimupunka ku cimbayambaya,medical
Bana cibwe nabaya kuculipatala muku paapa,medical
Chibwe alikwata ulota umubili onse,medical
Umwana wandi taleumfwa bwino umubili naukaba.,medical
Umwana wandi umutwe ulekalipa nakwata na icifine.,medical
"Nshileumfwa bwino, ndeumfwa ulunshingwa.",medical
Mumala na umutwe wandi filekalipa kabili na umusana.,medical
Mumenso yandi muleumfwika kwati mulepita umulilo.,medical
Bushe takuliko icipatala icili mupepi nangula emo bashitisha imiti?,medical
Ndelombako muntugulule eko bashitisha imiti.,medical
1: mwana waba kulu Banga adwala mumala atulula usiko onse niguna kumu peleka ku clinic.,medical
2:mike adwala mutu niyenda kumu gulila Panadol pa drug store paja.,medical
3:chi fuba mwana chamu vuta .,medical
4:niyenda ku hospital mwana wanga Ali admitted adwala malaria.,medical
5: mwana wanga adwala mutu nachi fuba tiyensa ku pimisa kapena ni corona .,medical
"6: ba uncle ba dwala lino, baka ngiwa kudya",medical
7: ba kulu Banga badwala mu mala Bangamwe munkwala bwanji ?,medical
Mwana wanga Ali na Malungo.,medical
Ni mvela chi dzwedzwe.,medical
Nanga Chipatala Kotengala makwala nikuti.,medical
Kaya ngati Amai bake baza pulumuka,medical
Mankwala yasila ku Chipatala.,medical
Ati chilonda Cha Yohane chizapola pachitatu diye ba doctor.,medical
Kusanvela kwake banamu peza natuswede.,medical
Batake Mateyo babapeleka kumudulidwe.,medical
Mwana uyu tupi ni yokupya,medical
Atyoka kwanja,medical
amvela mumala,medical
tumilani ambulance,medical
nimvela mutu ubaba,medical
adwala HIV,medical
mupasanikoni mankwala,medical
Umwana wandi nakaba umubili achinjeba ati aleumfwa ulunshingwa. Nikwisa kuchipatala kwamuti?,medical
Umwana wandi aleimfwa impepo,medical
Nshileimfwa bwino,medical
Bushe icipatala icabela mupepi cilikwi?,medical
Umutwe ulekalipa sana,medical
Umunandi alepolomya,medical
Bapeleni umuti,medical
Lesa ekondapa mukalamba,medical
Ndikudwala kwambiri ndipo ndikufuna kuonana ndi dokotala mwansanga.,medical
"Mwana wanga ali ndi malungo amphamvu, thupi lake likutentha kwambiri.",medical
Ndikumva kupweteka kwambiri m'chifuwa ndipo ndikulephera kupuma bwino.,medical
"Chonde itanani ambulansi panopa, munthu uyu wakomoka!",medical
Ndasanduka chizungulire ndipo maso anga akuchita mdima.,medical
Wachita ngozi yoopsa ndipo akutaya magazi ambiri kumwendo.,medical
M'mimba mukundipweteka kwambiri ndipo ndasanza kasanu m'mawa uno.,medical
Ndeufwa mumala ubukali,medical
Nde polomya saana,medical
Ndeufwa amaka ukupwa,medical
Twaleniko pa kiliniki,medical
Ndakama umulopa,medical
Ndeufwa ulushingwa napa Menso palefita,medical
Umutima ulakulukuta,medical
Nindwala mumala,medical
Amenso yalekalipa,medical
Nikwisa ningasanga ichipatela?,medical
Umwana nalwala impepo,medical
Ndeunfwa ulunshingwa,medical
Ameno yalekalipa,medical
Nalilwala utuswende,medical
"""Umwana nalwala.""",medical
"""Ichipatala chilikwisa?""",medical
"""Ndeumfwa ulunshingwa.""",medical
"""Nindwala ichifuba.""",medical
"""Umwana takwete imilopa.""",medical
"""Naulwala nangu naupola?""",medical
"""Uleumwa shani lelo?""",medical
.Ba taata umulopa ulekama sana mumubili,medical
.Ba mayo senge balekwata ubwafya bwakufilwa ukupema bwiino,medical
.Musonda bacimutwala kucipatala pantu acinywena,medical
.Mwape aciifyutula ukuboko ELO bamubutusisha ku cipatala,medical
.Ba shin'ganga abatila tulesunga ifimbusufyesu busaka busa,medical
.Bacifwila kucipatala ubushiku,medical
.Umwana aleluka naukupolomya,medical
"""Umwana na takwete amaka "", ""Ndeumfwa ulunshingwa nga mukasuba"", ""Icipute cile kalipa"", "" Umukashana ale luka noku polomya saana""",medical
"""Umwana nalwala umutwe"", "" Umukoshi ulekalipa nga nshi"", ""Umwana Ali samfula""",medical
"""Bushe kuti na sanga kwisa icipatala""",medical
Nindwala umutwe.,medical
Nalilwala mumala mailo.,medical
Nikwisa ningashita umuti mupepi?,medical
Umwaice wandi alikwata impepo.,medical
Naliya kuchipatala mailo.,medical
Ndeumfwa ulunshigwa.,medical
Ndeumfwa kwati kuluka.,medical
Mwana wanga auka na chifuba na chinfine. Ninga gule kuti mankwala??,medical
Nichani chamene chamiletani ku chipatala kuno??,medical
mwa mwako mankwala bwanji??,medical
